SampleID	HaplotypeID	ContigID	ContigOrientation	SegmentStart	SegmentEnd	SegmentColor	SegmentOrientation	SegmentState	ContigLength
HG00513	h2	cluster2_h2tg000004l	-	7810777	7849682	purple	direct	complete	12477618
HG00513	h2	cluster2_h2tg000004l	-	7864880	7893754	beige	direct	complete	12477618
HG00513	h2	cluster2_h2tg000004l	-	7912735	7943957	pink	invert	complete	12477618
HG00513	h2	cluster2_h2tg000004l	-	7943957	7968120	green	invert	complete	12477618
HG00513	h2	cluster2_h2tg000004l	-	7985781	8004637	cyan	invert	complete	12477618
HG00513	h2	cluster2_h2tg000004l	-	8033985	8077980	orange	invert	complete	12477618
HG00513	h2	cluster2_h2tg000004l	-	8086370	8126665	pink	invert	complete	12477618
HG00513	h2	cluster2_h2tg000004l	-	8126665	8150881	green	invert	complete	12477618
HG00513	h2	cluster2_h2tg000004l	-	8168527	8187341	cyan	invert	complete	12477618
HG00513	h2	cluster2_h2tg000004l	-	8205747	8247524	blue	invert	complete	12477618
HG00513	h2	cluster2_h2tg000004l	-	8302077	8348163	orange	direct	complete	12477618
HG00513	h2	cluster2_h2tg000004l	-	8402590	8444388	blue	invert	complete	12477618
HG00513	h2	cluster2_h2tg000004l	-	8462786	8481607	cyan	direct	complete	12477618
HG00513	h2	cluster2_h2tg000004l	-	8499259	8523424	green	direct	complete	12477618
HG00513	h2	cluster2_h2tg000004l	-	8523424	8554625	pink	direct	complete	12477618
HG00513	h2	cluster2_h2tg000004l	-	8567364	8614121	orange	invert	complete	12477618
HG00513	h2	cluster2_h2tg000004l	-	8676009	8717796	blue	direct	complete	12477618
HG00513	h2	cluster2_h2tg000004l	-	8736199	8755034	cyan	direct	complete	12477618
HG00513	h2	cluster2_h2tg000004l	-	8772677	8796853	green	direct	complete	12477618
HG00513	h2	cluster2_h2tg000004l	-	8796853	8837493	pink	direct	complete	12477618
HG00513	h2	cluster2_h2tg000004l	-	8850223	8897475	orange	invert	complete	12477618
HG00513	h2	cluster2_h2tg000004l	-	8900300	8927908	beige	invert	complete	12477618
HG00513	h2	cluster2_h2tg000004l	-	8943068	8982013	purple	invert	complete	12477618
HG00513	h2	cluster2_h2tg000004l	-	8995887	9020093	green	direct	complete	12477618
HG00513	h2	cluster2_h2tg000004l	-	9020093	9046588	pink	direct	complete	12477618
HG00514	h1	cluster12_h1tg000014l	+	3680119	3706616	pink	direct	complete	5665596
HG00514	h1	cluster12_h1tg000014l	+	3706616	3730821	green	direct	complete	5665596
HG00514	h1	cluster12_h1tg000014l	+	3744696	3783645	purple	invert	complete	5665596
HG00514	h1	cluster12_h1tg000014l	+	3798804	3826407	beige	invert	complete	5665596
HG00514	h1	cluster12_h1tg000014l	+	3829231	3876487	orange	invert	complete	5665596
HG00514	h1	cluster12_h1tg000014l	+	3889216	3929857	pink	direct	complete	5665596
HG00514	h1	cluster12_h1tg000014l	+	3929857	3954035	green	direct	complete	5665596
HG00514	h1	cluster12_h1tg000014l	+	3971678	3990513	cyan	direct	complete	5665596
HG00514	h1	cluster12_h1tg000014l	+	4008915	4050700	blue	direct	complete	5665596
HG00514	h1	cluster12_h1tg000014l	+	4112586	4159343	orange	invert	complete	5665596
HG00514	h1	cluster12_h1tg000014l	+	4172085	4203288	pink	direct	complete	5665596
HG00514	h1	cluster12_h1tg000014l	+	4203288	4227453	green	direct	complete	5665596
HG00514	h1	cluster12_h1tg000014l	+	4245105	4263927	cyan	direct	complete	5665596
HG00514	h1	cluster12_h1tg000014l	+	4282323	4324124	blue	direct	complete	5665596
HG00514	h1	cluster12_h1tg000014l	+	4378551	4424637	orange	invert	complete	5665596
HG00514	h1	cluster12_h1tg000014l	+	4479189	4520964	blue	invert	complete	5665596
HG00514	h1	cluster12_h1tg000014l	+	4539370	4558184	cyan	invert	complete	5665596
HG00514	h1	cluster12_h1tg000014l	+	4575830	4600061	green	invert	complete	5665596
HG00514	h1	cluster12_h1tg000014l	+	4600061	4640362	pink	invert	complete	5665596
HG00514	h1	cluster12_h1tg000014l	+	4648758	4695581	orange	invert	complete	5665596
HG00514	h1	cluster12_h1tg000014l	+	4722105	4740924	cyan	invert	complete	5665596
HG00514	h1	cluster12_h1tg000014l	+	4758591	4782754	green	invert	complete	5665596
HG00514	h1	cluster12_h1tg000014l	+	4782754	4813977	pink	invert	complete	5665596
HG00514	h1	cluster12_h1tg000014l	+	4832957	4861831	beige	direct	complete	5665596
HG00514	h1	cluster12_h1tg000014l	+	4877029	4915936	purple	direct	complete	5665596
HG00514	h2	cluster12_h2tg000021l	-	747525	786427	purple	direct	complete	5053825
HG00514	h2	cluster12_h2tg000021l	-	801622	830495	beige	direct	complete	5053825
HG00514	h2	cluster12_h2tg000021l	-	849459	880673	pink	invert	complete	5053825
HG00514	h2	cluster12_h2tg000021l	-	880673	904832	green	invert	complete	5053825
HG00514	h2	cluster12_h2tg000021l	-	922495	941314	cyan	invert	complete	5053825
HG00514	h2	cluster12_h2tg000021l	-	967833	1014647	orange	direct	complete	5053825
HG00514	h2	cluster12_h2tg000021l	-	1023040	1063340	pink	invert	complete	5053825
HG00514	h2	cluster12_h2tg000021l	-	1063340	1087566	green	invert	complete	5053825
HG00514	h2	cluster12_h2tg000021l	-	1105209	1124020	cyan	invert	complete	5053825
HG00514	h2	cluster12_h2tg000021l	-	1142423	1184194	blue	invert	complete	5053825
HG00514	h2	cluster12_h2tg000021l	-	1238729	1284810	orange	direct	complete	5053825
HG00514	h2	cluster12_h2tg000021l	-	1339246	1381038	blue	direct	complete	5053825
HG00514	h2	cluster12_h2tg000021l	-	1399434	1418251	cyan	direct	complete	5053825
HG00514	h2	cluster12_h2tg000021l	-	1435901	1460063	green	direct	complete	5053825
HG00514	h2	cluster12_h2tg000021l	-	1460063	1491269	pink	direct	complete	5053825
HG00514	h2	cluster12_h2tg000021l	-	1504009	1550760	orange	invert	complete	5053825
HG00514	h2	cluster12_h2tg000021l	-	1612638	1654408	blue	direct	complete	5053825
HG00514	h2	cluster12_h2tg000021l	-	1672806	1691641	cyan	direct	complete	5053825
HG00514	h2	cluster12_h2tg000021l	-	1709289	1733499	green	direct	complete	5053825
HG00514	h2	cluster12_h2tg000021l	-	1733499	1767793	pink	direct	complete	5053825
HG00731	h1	cluster9_h1tg000018l	+	6297	38349	blue	direct	partial	417374
HG00731	h1	cluster9_h1tg000018l	+	92786	138865	orange	direct	complete	417374
HG00731	h1	cluster9_h1tg000018l	+	202453	244230	blue	invert	complete	417374
HG00731	h1	cluster9_h1tg000018l	+	262635	281482	cyan	invert	complete	417374
HG00731	h1	cluster9_h1tg000018l	+	299124	323298	green	invert	complete	417374
HG00731	h1	cluster9_h1tg000018l	+	323298	354512	pink	invert	complete	417374
HG00731	h1	cluster9_h1tg000018l	+	374650	417256	orange	direct	complete	417374
HG00731	h1	cluster9_h1tg000023l	-	1062	7656	green	invert	partial	122690
HG00731	h1	cluster9_h1tg000023l	-	25321	44135	cyan	invert	complete	122690
HG00731	h1	cluster9_h1tg000023l	-	62534	104317	blue	direct	complete	122690
HG00731	h1	cluster9_h1tg000025l	+	2904	43194	pink	direct	complete	331593
HG00731	h1	cluster9_h1tg000025l	+	43194	67425	green	direct	complete	331593
HG00731	h1	cluster9_h1tg000025l	+	85072	103891	cyan	direct	complete	331593
HG00731	h1	cluster9_h1tg000025l	+	122296	139558	blue	direct	partial	331593
HG00731	h1	cluster9_h1tg000025l	+	139558	185645	orange	invert	complete	331593
HG00731	h1	cluster9_h1tg000025l	+	240083	281865	blue	invert	complete	331593
HG00731	h1	cluster9_h1tg000025l	+	300283	319124	cyan	invert	complete	331593
HG00731	h1	cluster11_h1tg000008l	+	3104	12186	pink	invert	partial	35342509
HG00731	h1	cluster11_h1tg000008l	+	20578	67395	orange	invert	complete	35342509
HG00731	h1	cluster11_h1tg000008l	+	93923	112777	cyan	invert	complete	35342509
HG00731	h1	cluster11_h1tg000008l	+	130447	154634	green	invert	complete	35342509
HG00731	h1	cluster11_h1tg000008l	+	154634	199968	pink	invert	complete	35342509
HG00731	h1	cluster11_h1tg000008l	+	218918	247793	beige	direct	complete	35342509
HG00731	h1	cluster11_h1tg000008l	+	262996	301880	purple	direct	complete	35342509
HG00731	h2	cluster11_h2tg000026l	+	3170754	3197238	pink	direct	complete	3332162
HG00731	h2	cluster11_h2tg000026l	+	3197238	3221444	green	direct	complete	3332162
HG00731	h2	cluster11_h2tg000026l	+	3235317	3274264	purple	invert	complete	3332162
HG00731	h2	cluster11_h2tg000026l	+	3289423	3317029	beige	invert	complete	3332162
HG00731	h2	cluster9_h2tg000003l	+	6296	38347	blue	direct	partial	372110
HG00731	h2	cluster9_h2tg000003l	+	92782	138858	orange	direct	complete	372110
HG00731	h2	cluster9_h2tg000003l	+	202444	244219	blue	invert	complete	372110
HG00731	h2	cluster9_h2tg000003l	+	262623	281469	cyan	invert	complete	372110
HG00731	h2	cluster9_h2tg000003l	+	299109	323283	green	invert	complete	372110
HG00731	h2	cluster9_h2tg000003l	+	323283	354495	pink	invert	complete	372110
HG00731	h2	cluster9_h2tg000007l	+	2094	43192	pink	direct	complete	243148
HG00731	h2	cluster9_h2tg000007l	+	43192	67421	green	direct	complete	243148
HG00731	h2	cluster9_h2tg000007l	+	85068	103886	cyan	direct	complete	243148
HG00731	h2	cluster9_h2tg000007l	+	122290	139552	blue	direct	partial	243148
HG00731	h2	cluster9_h2tg000007l	+	139552	185636	orange	invert	complete	243148
HG00731	h2	cluster9_h2tg000026l	+	2567	50223	orange	invert	complete	252637
HG00731	h2	cluster9_h2tg000026l	+	65366	101289	pink	direct	complete	252637
HG00731	h2	cluster9_h2tg000026l	+	101289	125448	green	direct	complete	252637
HG00731	h2	cluster9_h2tg000026l	+	143093	161933	cyan	direct	complete	252637
HG00731	h2	cluster9_h2tg000026l	+	180350	222130	blue	direct	complete	252637
HG00731	h2	cluster11_h2tg000023l	-	55443391	55482273	purple	direct	complete	55618875
HG00731	h2	cluster11_h2tg000023l	-	55497475	55526348	beige	direct	complete	55618875
HG00731	h2	cluster11_h2tg000023l	-	55545305	55590699	pink	invert	complete	55618875
HG00731	h2	cluster11_h2tg000023l	-	55590699	55614875	green	invert	complete	55618875
HG00732	h1	cluster14_h1tg000002l	+	10676353	10720110	pink	direct	complete	46379020
HG00732	h1	cluster14_h1tg000002l	+	10720110	10744331	green	direct	complete	46379020
HG00732	h1	cluster14_h1tg000002l	+	10761980	10780816	cyan	direct	complete	46379020
HG00732	h1	cluster14_h1tg000002l	+	10799216	10840991	blue	direct	complete	46379020
HG00732	h1	cluster14_h1tg000002l	+	10895442	10941544	orange	direct	complete	46379020
HG00732	h1	cluster14_h1tg000002l	+	11003405	11045181	blue	invert	complete	46379020
HG00732	h1	cluster14_h1tg000002l	+	11063582	11082412	cyan	invert	complete	46379020
HG00732	h1	cluster14_h1tg000002l	+	11100073	11124255	green	invert	complete	46379020
HG00732	h1	cluster14_h1tg000002l	+	11210477	11229304	cyan	invert	complete	46379020
HG00732	h1	cluster14_h1tg000002l	+	11161765	11242255	pink	invert	complete	46379020
HG00732	h1	cluster14_h1tg000002l	+	11246973	11271140	green	invert	complete	46379020
HG00732	h1	cluster14_h1tg000002l	+	11271140	11302352	pink	invert	complete	46379020
HG00732	h1	cluster14_h1tg000002l	+	11321299	11350170	beige	direct	complete	46379020
HG00732	h1	cluster14_h1tg000002l	+	11365356	11404234	purple	direct	complete	46379020
HG00732	h2	cluster14_h2tg000014l	-	4359579	4398460	purple	direct	complete	4696904
HG00732	h2	cluster14_h2tg000014l	-	4413645	4442519	beige	direct	complete	4696904
HG00732	h2	cluster14_h2tg000014l	-	4461493	4492704	pink	invert	complete	4696904
HG00732	h2	cluster14_h2tg000014l	-	4492704	4516887	green	invert	complete	4696904
HG00732	h2	cluster14_h2tg000014l	-	4534566	4553378	cyan	invert	complete	4696904
HG00732	h2	cluster14_h2tg000014l	-	4571780	4613557	blue	invert	complete	4696904
HG00732	h2	cluster14_h2tg000014l	-	4668110	4692165	orange	direct	partial	4696904
HG00732	h2	cluster14_h2tg000015l	+	1394809	1424401	pink	direct	complete	1633227
HG00732	h2	cluster14_h2tg000015l	+	1424401	1448698	green	direct	complete	1633227
HG00732	h2	cluster14_h2tg000015l	+	1466356	1485192	cyan	direct	complete	1633227
HG00732	h2	cluster14_h2tg000015l	+	1503592	1545367	blue	direct	complete	1633227
HG00732	h2	cluster14_h2tg000015l	+	1599805	1621866	orange	direct	partial	1633227
HG00732	h2	cluster14_h2tg000034c	+	11042	29866	cyan	direct	complete	156016
HG00732	h2	cluster14_h2tg000034c	+	78555	127023	pink	direct	complete	156016
HG00732	h2	cluster14_h2tg000034c	+	127023	151249	green	direct	complete	156016
HG00733	h1	cluster16_h1tg000002l	-	14847923	14886802	purple	direct	complete	29470716
HG00733	h1	cluster16_h1tg000002l	-	14901987	14930859	beige	direct	complete	29470716
HG00733	h1	cluster16_h1tg000002l	-	14949834	14981046	pink	invert	complete	29470716
HG00733	h1	cluster16_h1tg000002l	-	14981046	15005228	green	invert	complete	29470716
HG00733	h1	cluster16_h1tg000002l	-	15022887	15041718	cyan	invert	complete	29470716
HG00733	h1	cluster16_h1tg000002l	-	15060120	15101897	blue	invert	complete	29470716
HG00733	h1	cluster16_h1tg000002l	-	15156449	15199087	orange	direct	complete	29470716
HG00733	h1	cluster16_h1tg000002l	-	15219235	15250415	pink	invert	complete	29470716
HG00733	h1	cluster16_h1tg000002l	-	15250415	15274615	green	invert	complete	29470716
HG00733	h1	cluster16_h1tg000002l	-	15292268	15311108	cyan	invert	complete	29470716
HG00733	h1	cluster16_h1tg000002l	-	15337726	15383839	orange	direct	complete	29470716
HG00733	h1	cluster16_h1tg000002l	-	15438274	15480048	blue	direct	complete	29470716
HG00733	h1	cluster16_h1tg000002l	-	15498448	15517284	cyan	direct	complete	29470716
HG00733	h1	cluster16_h1tg000002l	-	15534938	15559159	green	direct	complete	29470716
HG00733	h1	cluster16_h1tg000002l	-	15559159	15588742	pink	direct	complete	29470716
HG00733	h2	cluster16_h2tg000001l	+	15331949	15358434	pink	direct	complete	31028573
HG00733	h2	cluster16_h2tg000001l	+	15358434	15382640	green	direct	complete	31028573
HG00733	h2	cluster16_h2tg000001l	+	15396512	15435464	purple	invert	complete	31028573
HG00733	h2	cluster16_h2tg000001l	+	15450621	15478225	beige	invert	complete	31028573
HG00733	h2	cluster16_h2tg000001l	+	15481050	15525879	orange	invert	complete	31028573
HG00733	h2	cluster16_h2tg000001l	+	15541021	15576941	pink	direct	complete	31028573
HG00733	h2	cluster16_h2tg000001l	+	15576941	15601105	green	direct	complete	31028573
HG00733	h2	cluster16_h2tg000001l	+	15618768	15637581	cyan	direct	complete	31028573
HG00733	h2	cluster16_h2tg000001l	+	15655978	15697756	blue	direct	complete	31028573
HG00733	h2	cluster16_h2tg000001l	+	15752201	15798283	orange	direct	complete	31028573
HG00733	h2	cluster16_h2tg000001l	+	15852815	15894593	blue	invert	complete	31028573
HG00733	h2	cluster16_h2tg000001l	+	15913009	15931846	cyan	invert	complete	31028573
HG00733	h2	cluster16_h2tg000001l	+	15949494	15973669	green	invert	complete	31028573
HG00733	h2	cluster16_h2tg000001l	+	15973669	16006460	pink	invert	complete	31028573
HG00733	h2	cluster16_h2tg000001l	+	16025416	16054287	beige	direct	complete	31028573
HG00733	h2	cluster16_h2tg000001l	+	16069489	16108369	purple	direct	complete	31028573
NA12878	h1	cluster10_h1tg000003l	+	419	7041	green	invert	partial	14828750
NA12878	h1	cluster10_h1tg000003l	+	7041	38246	pink	invert	complete	14828750
NA12878	h1	cluster10_h1tg000003l	+	86968	105794	cyan	invert	complete	14828750
NA12878	h1	cluster10_h1tg000003l	+	123462	147630	green	invert	complete	14828750
NA12878	h1	cluster10_h1tg000003l	+	147630	178842	pink	invert	complete	14828750
NA12878	h1	cluster10_h1tg000003l	+	197803	226673	beige	direct	complete	14828750
NA12878	h1	cluster10_h1tg000003l	+	241858	280737	purple	direct	complete	14828750
NA12878	h1	cluster10_h1tg000005l	+	3342999	3388308	pink	direct	complete	3846979
NA12878	h1	cluster10_h1tg000005l	+	3388308	3412481	green	direct	complete	3846979
NA12878	h1	cluster10_h1tg000005l	+	3428317	3447140	cyan	direct	complete	3846979
NA12878	h1	cluster10_h1tg000005l	+	3495832	3544301	pink	direct	complete	3846979
NA12878	h1	cluster10_h1tg000005l	+	3544301	3568529	green	direct	complete	3846979
NA12878	h1	cluster10_h1tg000005l	+	3586180	3605016	cyan	direct	complete	3846979
NA12878	h1	cluster10_h1tg000005l	+	3623416	3665184	blue	direct	complete	3846979
NA12878	h1	cluster10_h1tg000005l	+	3719642	3765714	orange	direct	complete	3846979
NA12878	h1	cluster10_h1tg000005l	+	3827576	3841151	blue	invert	partial	3846979
NA12878	h1	cluster10_h1tg000047l	+	3120	23852	blue	direct	partial	303564
NA12878	h1	cluster10_h1tg000047l	+	42255	61086	cyan	direct	complete	303564
NA12878	h1	cluster10_h1tg000047l	+	78743	102965	green	direct	complete	303564
NA12878	h1	cluster10_h1tg000047l	+	102965	157402	pink	direct	complete	303564
NA12878	h1	cluster10_h1tg000047l	+	165795	213872	orange	invert	complete	303564
NA12878	h1	cluster10_h1tg000047l	+	266731	302030	blue	direct	partial	303564
NA12878	h2	cluster10_h2tg000009l	-	86647860	86686689	purple	direct	complete	101636480
NA12878	h2	cluster10_h2tg000009l	-	86701891	86730763	beige	direct	complete	101636480
NA12878	h2	cluster10_h2tg000009l	-	86749722	86769921	pink	invert	complete	101636480
NA12878	h2	cluster10_h2tg000009l	-	86769921	86794099	green	invert	complete	101636480
NA12878	h2	cluster10_h2tg000009l	-	86811749	86830588	cyan	invert	complete	101636480
NA12878	h2	cluster10_h2tg000009l	-	86849004	86890784	blue	invert	complete	101636480
NA12878	h2	cluster10_h2tg000009l	-	86954370	87001190	orange	direct	complete	101636480
NA12878	h2	cluster10_h2tg000009l	-	87009583	87049866	pink	invert	complete	101636480
NA12878	h2	cluster10_h2tg000009l	-	87049866	87074088	green	invert	complete	101636480
NA12878	h2	cluster10_h2tg000009l	-	87091749	87110582	cyan	invert	complete	101636480
NA12878	h2	cluster10_h2tg000009l	-	87128972	87170751	blue	invert	complete	101636480
NA12878	h2	cluster10_h2tg000009l	-	87232614	87278684	orange	direct	complete	101636480
NA12878	h2	cluster10_h2tg000009l	-	87333142	87374911	blue	direct	complete	101636480
NA12878	h2	cluster10_h2tg000009l	-	87393311	87412148	cyan	direct	complete	101636480
NA12878	h2	cluster10_h2tg000009l	-	87429811	87454041	green	direct	complete	101636480
NA12878	h2	cluster10_h2tg000009l	-	87454041	87497793	pink	direct	complete	101636480
NA12878	h2	cluster10_h2tg000009l	-	87546472	87565293	cyan	direct	complete	101636480
NA12878	h2	cluster10_h2tg000009l	-	87581130	87605302	green	direct	complete	101636480
NA12878	h2	cluster10_h2tg000009l	-	87605302	87650610	pink	direct	complete	101636480
NA19238	h1	cluster6_h1tg000071l	-	55333	97913	orange	direct	complete	517214
NA19238	h1	cluster6_h1tg000071l	-	118082	153997	pink	invert	complete	517214
NA19238	h1	cluster6_h1tg000071l	-	153997	178160	green	invert	complete	517214
NA19238	h1	cluster6_h1tg000071l	-	195799	214620	cyan	invert	complete	517214
NA19238	h1	cluster6_h1tg000071l	-	250904	296939	orange	invert	complete	517214
NA19238	h1	cluster6_h1tg000071l	-	332560	351395	cyan	direct	complete	517214
NA19238	h1	cluster6_h1tg000071l	-	369052	393270	green	direct	complete	517214
NA19238	h1	cluster6_h1tg000071l	-	393270	432286	pink	direct	complete	517214
NA19238	h1	cluster6_h1tg000071l	-	480925	499758	cyan	direct	complete	517214
NA19238	h1	cluster16_h1tg000017l	-	6739796	6778675	purple	direct	complete	6846131
NA19238	h1	cluster16_h1tg000017l	-	6794187	6822739	beige	direct	complete	6846131
NA19238	h1	cluster16_h1tg000036l	-	10867	29677	cyan	direct	complete	150261
NA19238	h1	cluster16_h1tg000036l	-	47317	71503	green	direct	complete	150261
NA19238	h1	cluster16_h1tg000036l	-	71503	96413	pink	direct	complete	150261
NA19238	h1	cluster16_h1tg000036l	-	145112	147806	cyan	direct	partial	150261
NA19238	h1	cluster16_h1tg000044l	-	26110	50272	green	direct	complete	116912
NA19238	h1	cluster16_h1tg000044l	-	67927	86744	cyan	direct	complete	116912
NA19238	h1	cluster16_h1tg000044l	-	105145	114922	blue	direct	partial	116912
NA19238	h2	cluster6_h2tg000034l	-	55336	97918	orange	direct	complete	512505
NA19238	h2	cluster6_h2tg000034l	-	118087	154004	pink	direct	complete	512505
NA19238	h2	cluster6_h2tg000034l	-	154004	178168	green	direct	complete	512505
NA19238	h2	cluster6_h2tg000034l	-	250915	296952	orange	invert	complete	512505
NA19238	h2	cluster6_h2tg000034l	-	296952	314161	blue	direct	partial	512505
NA19238	h2	cluster6_h2tg000034l	-	332575	351411	cyan	direct	complete	512505
NA19238	h2	cluster6_h2tg000034l	-	369069	393287	green	direct	complete	512505
NA19238	h2	cluster6_h2tg000034l	-	393287	427596	pink	direct	complete	512505
NA19238	h2	cluster6_h2tg000034l	-	476237	495071	cyan	direct	complete	512505
NA19238	h2	cluster16_h2tg000013l	+	26111	50274	green	direct	complete	116912
NA19238	h2	cluster16_h2tg000013l	+	67930	86748	cyan	direct	complete	116912
NA19238	h2	cluster16_h2tg000013l	+	105150	114928	blue	direct	partial	116912
NA19238	h2	cluster16_h2tg000012l	+	15166	33977	cyan	direct	complete	1085493
NA19238	h2	cluster16_h2tg000012l	+	51619	75817	green	direct	complete	1085493
NA19238	h2	cluster16_h2tg000012l	+	75817	100710	pink	direct	complete	1085493
NA19238	h2	cluster16_h2tg000012l	+	149390	168205	cyan	direct	complete	1085493
NA19238	h2	cluster16_h2tg000012l	+	185877	210059	green	direct	complete	1085493
NA19238	h2	cluster16_h2tg000012l	+	210059	241297	pink	direct	complete	1085493
NA19238	h2	cluster16_h2tg000012l	+	260290	289162	beige	direct	complete	1085493
NA19238	h2	cluster16_h2tg000012l	+	304348	343231	purple	direct	complete	1085493
NA19238	h2	cluster16_h2tg000027l	-	4399	22010	green	direct	partial	9070259
NA19238	h2	cluster16_h2tg000027l	-	22010	72043	pink	direct	complete	9070259
NA19239	h1	cluster12_h1tg000004l	+	3386776	3422657	pink	direct	complete	9644735
NA19239	h1	cluster12_h1tg000004l	+	3422657	3446858	green	direct	complete	9644735
